precinct,patrol_boro,years,complaints_per_year,difference_19_20
Precinct 43, BRONX,"[2019,2020]","[2286,2654]",368
Precinct 104, QUEENS NORTH,"[2019,2020]","[1727,1969]",242
Precinct 102, QUEENS SOUTH,"[2019,2020]","[1229,1469]",240
Precinct 48, BRONX,"[2019,2020]","[1970,2145]",175
Precinct 94, BKLYN NORTH,"[2019,2020]","[1030,1203]",173
Precinct 33, MAN NORTH,"[2019,2020]","[1042,1209]",167
Precinct 46, BRONX,"[2019,2020]","[2477,2635]",158
Precinct 42, BRONX,"[2019,2020]","[1768,1916]",148
Precinct 103, QUEENS SOUTH,"[2019,2020]","[2098,2242]",144
Precinct 83, BKLYN NORTH,"[2019,2020]","[2018,2141]",123
Precinct 40, BRONX,"[2019,2020]","[2688,2789]",101
Precinct 23, MAN NORTH,"[2019,2020]","[825,917]",92
Precinct 114, QUEENS NORTH,"[2019,2020]","[2125,2190]",65
Precinct 41, BRONX,"[2019,2020]","[1236,1293]",57
Precinct 122, STATEN ISLAND,"[2019,2020]","[927,972]",45
Precinct 25, MAN NORTH,"[2019,2020]","[1490,1533]",43
Precinct 110, QUEENS NORTH,"[2019,2020]","[1883,1908]",25
Precinct 34, MAN NORTH,"[2019,2020]","[1636,1657]",21
Precinct 50, BRONX,"[2019,2020]","[1112,1127]",15
Precinct 30, MAN NORTH,"[2019,2020]","[927,940]",13
Precinct 112, QUEENS NORTH,"[2019,2020]","[708,719]",11
Precinct 109, QUEENS NORTH,"[2019,2020]","[2524,2534]",10
Precinct 108, QUEENS NORTH,"[2019,2020]","[1344,1351]",7
Precinct 123, STATEN ISLAND,"[2019,2020]","[529,535]",6
Precinct 60, BKLYN SOUTH,"[2019,2020]","[1331,1332]",1
Precinct 81, BKLYN NORTH,"[2019,2020]","[1624,1621]",-3
Precinct 22, MAN NORTH,"[2019,2020]","[74,64]",-10
Precinct 69, BKLYN SOUTH,"[2019,2020]","[966,947]",-19
Precinct 106, QUEENS SOUTH,"[2019,2020]","[1954,1935]",-19
Precinct 28, MAN NORTH,"[2019,2020]","[1129,1109]",-20
Precinct 44, BRONX,"[2019,2020]","[2808,2785]",-23
Precinct 121, STATEN ISLAND,"[2019,2020]","[1303,1274]",-29
Precinct 88, BKLYN NORTH,"[2019,2020]","[1013,981]",-32
Precinct 70, BKLYN SOUTH,"[2019,2020]","[2032,1998]",-34
Precinct 100, QUEENS SOUTH,"[2019,2020]","[753,719]",-34
Precinct 20, MAN NORTH,"[2019,2020]","[945,910]",-35
Precinct 77, BKLYN NORTH,"[2019,2020]","[1525,1482]",-43
Precinct 107, QUEENS SOUTH,"[2019,2020]","[1426,1379]",-47
Precinct 115, QUEENS NORTH,"[2019,2020]","[2051,1996]",-55
Precinct 105, QUEENS SOUTH,"[2019,2020]","[2514,2457]",-57
Precinct 32, MAN NORTH,"[2019,2020]","[1245,1186]",-59
Precinct 26, MAN NORTH,"[2019,2020]","[605,544]",-61
Precinct 49, BRONX,"[2019,2020]","[1486,1418]",-68
Precinct 63, BKLYN SOUTH,"[2019,2020]","[1276,1205]",-71
Precinct 111, QUEENS NORTH,"[2019,2020]","[1029,958]",-71
Precinct 66, BKLYN SOUTH,"[2019,2020]","[1323,1252]",-71
Precinct 47, BRONX,"[2019,2020]","[2451,2377]",-74
Precinct 24, MAN NORTH,"[2019,2020]","[1069,979]",-90
Precinct 7, MAN SOUTH,"[2019,2020]","[964,869]",-95
Precinct 61, BKLYN SOUTH,"[2019,2020]","[1617,1517]",-100
Precinct 9, MAN SOUTH,"[2019,2020]","[1284,1173]",-111
Precinct 73, BKLYN NORTH,"[2019,2020]","[1997,1886]",-111
Precinct 78, BKLYN SOUTH,"[2019,2020]","[1003,884]",-119
Precinct 113, QUEENS SOUTH,"[2019,2020]","[2264,2140]",-124
Precinct 120, STATEN ISLAND,"[2019,2020]","[1558,1430]",-128
Precinct 68, BKLYN SOUTH,"[2019,2020]","[1386,1250]",-136
Precinct 45, BRONX,"[2019,2020]","[1382,1232]",-150
Precinct 84, BKLYN NORTH,"[2019,2020]","[1281,1128]",-153
Precinct 1, MAN SOUTH,"[2019,2020]","[1455,1299]",-156
Precinct 6, MAN SOUTH,"[2019,2020]","[1843,1680]",-163
Precinct 67, BKLYN SOUTH,"[2019,2020]","[2856,2692]",-164
Precinct 10, MAN SOUTH,"[2019,2020]","[1277,1101]",-176
Precinct 79, BKLYN NORTH,"[2019,2020]","[1979,1794]",-185
Precinct 76, BKLYN SOUTH,"[2019,2020]","[671,484]",-187
Precinct 72, BKLYN SOUTH,"[2019,2020]","[1719,1523]",-196
Precinct 62, BKLYN SOUTH,"[2019,2020]","[1505,1307]",-198
Precinct 5, MAN SOUTH,"[2019,2020]","[1145,943]",-202
Precinct 90, BKLYN NORTH,"[2019,2020]","[1827,1620]",-207
Precinct 52, BRONX,"[2019,2020]","[2786,2546]",-240
Precinct 17, MAN SOUTH,"[2019,2020]","[1308,1060]",-248
Precinct 101, QUEENS SOUTH,"[2019,2020]","[1360,1111]",-249
Precinct 13, MAN SOUTH,"[2019,2020]","[2110,1840]",-270
Precinct 71, BKLYN SOUTH,"[2019,2020]","[1734,1446]",-288
Precinct 19, MAN NORTH,"[2019,2020]","[2680,2385]",-295
Precinct 75, BKLYN NORTH,"[2019,2020]","[4682,4344]",-338
Precinct 14, MAN SOUTH,"[2019,2020]","[2608,2093]",-515
Precinct 18, MAN SOUTH,"[2019,2020]","[2620,1834]",-786