precinct,patrol_boro,number_of_complaints,area,complaints_per_100k_sqft
Precinct 14, MAN SOUTH,599,20510163.83,2.920503243976282
Precinct 28, MAN NORTH,251,15289544.6,1.6416447092871558
Precinct 46, BRONX,531,38323373.38,1.385577398771256
Precinct 33, MAN NORTH,343,25865037.87,1.326114431859519
Precinct 32, MAN NORTH,282,23009990.36,1.2255546203540435
Precinct 6, MAN SOUTH,264,22098189.76,1.1946679925695414
Precinct 9, MAN SOUTH,255,21394233.59,1.191909955209571
Precinct 18, MAN SOUTH,374,32261097.6,1.1592909969684353
Precinct 30, MAN NORTH,217,18845037.81,1.1514967610457663
Precinct 5, MAN SOUTH,193,18088797.95,1.0669586809111327
Precinct 42, BRONX,478,44818131.9,1.0665326280589575
Precinct 44, BRONX,582,55518898.07,1.048291699280839
Precinct 81, BKLYN NORTH,359,34485430.76,1.041019329288494
Precinct 17, MAN SOUTH,230,22269686.99,1.0327940401824212
Precinct 48, BRONX,442,43057143.45,1.0265427861308805
Precinct 13, MAN SOUTH,291,29508893.74,0.9861433727877865
Precinct 7, MAN SOUTH,173,18364020.9,0.9420594811019847
Precinct 40, BRONX,544,60400894.81,0.9006489087806281
Precinct 23, MAN NORTH,187,21467755.11,0.8710738455968906
Precinct 19, MAN NORTH,413,48744673.58,0.8472720600378674
Precinct 83, BKLYN NORTH,475,56650181.43,0.8384792210894071
Precinct 79, BKLYN NORTH,376,44975546.93,0.836009844605574
Precinct 71, BKLYN SOUTH,358,45331787.17,0.7897328174101192
Precinct 84, BKLYN NORTH,275,35462877.45,0.7754587889483288
Precinct 25, MAN NORTH,347,44793124.96,0.7746724532165795
Precinct 73, BKLYN NORTH,389,51771864.99,0.7513733570833064
Precinct 34, MAN NORTH,388,52104582.79,0.7446561880435316
Precinct 10, MAN SOUTH,203,27267320.87,0.7444809153338723
Precinct 52, BRONX,578,80116628.67,0.7214482306548109
Precinct 20, MAN NORTH,199,27671000.15,0.7191644643173478
Precinct 24, MAN NORTH,180,25479873.37,0.7064399315733334
Precinct 67, BKLYN SOUTH,649,93744758.44,0.6923053734416343
Precinct 77, BKLYN NORTH,285,42651832.13,0.6682010731246868
Precinct 1, MAN SOUTH,296,47315893.68,0.6255826044454836
Precinct 70, BKLYN SOUTH,459,82181407.82,0.5585204879981333
Precinct 75, BKLYN NORTH,947,180384307.54,0.5249902349681964
Precinct 43, BRONX,576,113325976.68,0.5082682866492813
Precinct 103, QUEENS SOUTH,469,100921594.95,0.4647171898465919
Precinct 90, BKLYN NORTH,286,66154252.97,0.43232292280542706
Precinct 41, BRONX,266,62139100.54,0.4280718544176082
Precinct 47, BRONX,634,160530329.31,0.3949409452563217
Precinct 26, MAN NORTH,92,23836010.53,0.38597062996011355
Precinct 94, BKLYN NORTH,231,65627712.59,0.3519854507853113
Precinct 115, QUEENS NORTH,394,113342670.87,0.3476184185318025
Precinct 110, QUEENS NORTH,386,112105631.29,0.34431811815186825
Precinct 62, BKLYN SOUTH,351,103208535.21,0.3400881519012114
Precinct 60, BKLYN SOUTH,296,88215710.85,0.33554113790831624
Precinct 49, BRONX,344,105809974.13,0.3251111275930902
Precinct 88, BKLYN NORTH,137,42391905.68,0.32317490285565287
Precinct 72, BKLYN SOUTH,322,104621257.69,0.3077768391526206
Precinct 114, QUEENS NORTH,512,179955560.12,0.284514687769904
Precinct 101, QUEENS SOUTH,238,84672666.33,0.28108244409409283
Precinct 76, BKLYN SOUTH,130,48239339.96,0.2694895910843636
Precinct 78, BKLYN SOUTH,159,67677111.13,0.23493910621358996
Precinct 61, BKLYN SOUTH,315,134636252.71,0.23396373091168454
Precinct 106, QUEENS SOUTH,387,173080151.29,0.2235958295134444
Precinct 102, QUEENS SOUTH,286,133314470.84,0.21453034932963022
Precinct 68, BKLYN SOUTH,238,110943389.27,0.214523822974964
Precinct 66, BKLYN SOUTH,212,99520789.11,0.21302081896243516
Precinct 108, QUEENS NORTH,281,139673421.88,0.20118358683974985
Precinct 104, QUEENS NORTH,416,210504683.7,0.19762030596566724
Precinct 112, QUEENS NORTH,169,88945075.95,0.19000489706142074
Precinct 69, BKLYN SOUTH,180,106875035.54,0.1684209966251956
Precinct 109, QUEENS NORTH,512,322686744.93,0.15866781268349509
Precinct 120, STATEN ISLAND,365,232394745.25,0.15706034988327688
Precinct 50, BRONX,197,136112620.48,0.14473308889747416
Precinct 105, QUEENS SOUTH,480,347328626.92,0.1381976499479722
Precinct 113, QUEENS SOUTH,465,386060354.63,0.12044748817724515
Precinct 107, QUEENS SOUTH,247,207501246.61,0.11903542944213638
Precinct 63, BKLYN SOUTH,263,229484178.53,0.11460485061963369
Precinct 45, BRONX,291,271932559.55,0.1070118269329547
Precinct 111, QUEENS NORTH,201,259702031.96,0.07739639096507282
Precinct 121, STATEN ISLAND,304,475608662.66,0.0639180956670929
Precinct 100, QUEENS SOUTH,124,206987680.75,0.05990694690171797
Precinct 122, STATEN ISLAND,234,454803344.6,0.051450808965752715
Precinct 123, STATEN ISLAND,127,460870016.29,0.02755657680279333
Precinct 22, MAN NORTH,7,38301388.66,0.01827609975747548